DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION,HOUR
231307184,2023-03-03,2023-03-03,100,Newton,THEFT OF IDENTITY,22.0,F,B,Unknown,Invest Cont,2700 S  GRAND                        AV,1
221321139,2022-11-18,2022-11-18,1030,Newton,INTIMATE PARTNER - SIMPLE ASSAULT,41.0,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,600 E  43RD                         PL,10
220124178,2022-11-09,2022-11-09,1300,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",26.0,M,B,OTHER CUTTING INSTRUMENT,Invest Cont,700 S  MAIN                         ST,13
221116610,2022-11-22,2022-11-14,2200,Northeast,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),70.0,M,F,Unknown,Invest Cont,1900    KEMPER                       ST,22
221114466,2022-09-29,2022-09-28,2330,Northeast,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),49.0,F,H,Unknown,Invest Cont,1400    LOGAN                        ST,23
221414026,2022-07-19,2022-07-09,2130,Pacific,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",49.0,M,B,Unknown,Invest Cont,7100    RAMSGATE                     AV,21
220714341,2022-09-21,2022-09-21,1248,Wilshire,BURGLARY,35.0,F,H,Unknown,Adult Arrest,2400 S  CLOVERDALE                   AV,12
230407024,2023-04-01,2023-03-30,2105,Hollenbeck,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),37.0,F,W,Unknown,Invest Cont,3700    HELLMAN                      AV,21
220618077,2022-10-23,2022-10-22,1845,Hollywood,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),27.0,M,H,Unknown,Invest Cont,5500 W  SUNSET                       BL,18
230605682,2023-02-07,2023-02-05,2300,Hollywood,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),37.0,F,B,Unknown,Invest Cont,PADRE,23
222013768,2022-08-14,2022-08-14,840,Olympic,VIOLATION OF RESTRAINING ORDER,44.0,M,H,Unknown,Adult Other,6TH                          ST,8
231607864,2023-05-02,2023-05-01,1800,Foothill,BURGLARY,52.0,M,H,Unknown,Invest Cont,7600    FOOTHILL                     BL,18
221822825,2022-12-28,2022-12-28,1040,Southeast,ROBBERY,66.0,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1300 E  107TH                        ST,10
230807840,2023-03-31,2023-03-31,1615,West LA,CRIMINAL THREATS - NO WEAPON DISPLAYED,48.0,M,O,VERBAL THREAT,Invest Cont,1500    BROCKTON                     AV,16
220713552,2022-08-31,2022-08-30,501,Wilshire,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",29.0,F,O,Unknown,Invest Cont,600 S  BURNSIDE                     AV,5
231507236,2023-03-19,2023-03-19,220,N Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",28.0,F,H,SHOTGUN,Adult Arrest,11900    HART                         ST,2
221012493,2022-08-05,2022-06-20,100,West Valley,THEFT PLAIN - PETTY ($950 & UNDER),53.0,M,O,Unknown,Invest Cont,7400    WHITE OAK                    AV,1
231806742,2023-02-06,2023-02-02,830,Southeast,THEFT OF IDENTITY,32.0,M,H,Unknown,Invest Cont,9000 S  MAIN                         ST,8
230706018,2023-02-14,2023-02-09,1208,Wilshire,THEFT OF IDENTITY,40.0,F,B,Unknown,Invest Cont,5000 W  PICO                         BL,12
221513177,2022-08-07,2022-08-01,700,N Hollywood,THEFT OF IDENTITY,41.0,M,W,Unknown,Invest Cont,11100    LANDALE                      ST,7
230706970,2023-03-10,2023-03-10,1835,Wilshire,BATTERY - SIMPLE ASSAULT,56.0,M,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,100 S  LA BREA                      AV,18
220910476,2022-06-18,2022-06-16,2100,Van Nuys,THEFT OF IDENTITY,77.0,F,W,Unknown,Invest Cont,13400    VENTURA                      BL,21
230407638,2023-04-23,2023-04-23,900,Hollenbeck,ROBBERY,63.0,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,3200    CASTALIA                     AV,9
221614872,2022-12-05,2022-12-04,2215,Foothill,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",21.0,M,H,UNKNOWN FIREARM,Adult Arrest,OSBORNE                      ST,22
221417981,2022-10-22,2022-10-21,2330,Pacific,BURGLARY FROM VEHICLE,31.0,M,H,Unknown,Invest Cont,400 S  MAIN                         ST,23
222113946,2022-09-05,2022-09-03,800,Topanga,BURGLARY,68.0,F,O,Unknown,Invest Cont,22500    DOLOROSA                     ST,8
230707396,2023-03-20,2023-03-20,900,Wilshire,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",62.0,F,B,Unknown,Invest Cont,1100 S  SPAULDING                    AV,9
231500616,2023-03-12,2023-03-12,1715,N Hollywood,ATTEMPTED ROBBERY,71.0,M,H,KNIFE WITH BLADE 6INCHES OR LESS,Adult Arrest,6400    TUJUNGA                      AV,17
231308012,2023-03-19,2023-03-19,400,Newton,BURGLARY FROM VEHICLE,29.0,M,H,Unknown,Invest Cont,57TH                         ST,4
231412370,2023-06-13,2023-05-23,1200,Pacific,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",25.0,F,W,Unknown,Invest Cont,1000    ELKGROVE                     AV,12
230104288,2023-01-03,2022-12-30,1800,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",25.0,M,C,Unknown,Invest Cont,600 N  HILL                         ST,18
220617339,2022-09-28,2022-09-12,935,Hollywood,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",40.0,M,W,Unknown,Invest Cont,5500    HOLLYWOOD                    BL,9
230104009,2023-01-01,2023-01-01,100,Central,INTIMATE PARTNER - SIMPLE ASSAULT,60.0,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,100 W  5TH                          ST,1
230111886,2023-05-06,2023-05-06,330,Central,ROBBERY,53.0,M,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,700 S  BROADWAY,3
231609405,2023-06-22,2023-06-06,2330,Foothill,INTIMATE PARTNER - AGGRAVATED ASSAULT,54.0,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,11200    HERRICK                      AV,23
220119950,2022-09-07,2022-09-07,1400,Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,26.0,M,H,VERBAL THREAT,Invest Cont,6TH                          ST,14
231209409,2023-04-01,2023-04-01,1800,77th Street,VANDALISM - MISDEAMEANOR ($399 OR UNDER),36.0,F,H,Unknown,Invest Cont,6700    6TH                          AV,18
221013194,2022-08-24,2022-08-24,2320,West Valley,BRANDISH WEAPON,70.0,M,B,KNIFE WITH BLADE 6INCHES OR LESS,Invest Cont,RESEDA                       BL,23
231607053,2023-04-07,2023-04-06,1353,Foothill,BURGLARY,53.0,F,H,Unknown,Invest Cont,7600    CAMELLIA                     AV,13
220215148,2022-08-22,2022-07-08,1730,Rampart,THEFT OF IDENTITY,62.0,M,H,Unknown,Invest Cont,200    COLUMBIA                     AV,17
222100916,2022-11-11,2022-11-11,1940,Topanga,INTIMATE PARTNER - SIMPLE ASSAULT,31.0,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,SHERMAN                      WY,19
231007394,2023-03-29,2023-03-24,1400,West Valley,BATTERY - SIMPLE ASSAULT,15.0,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,17000    HAYNES                       ST,14
222116734,2022-11-16,2022-11-16,2115,Topanga,BRANDISH WEAPON,25.0,M,H,OTHER KNIFE,Invest Cont,6700    TOPANGA CANYON               BL,21
220811556,2022-07-01,2022-06-30,1311,West LA,THEFT PLAIN - PETTY ($950 & UNDER),20.0,F,C,Unknown,Invest Cont,400    MIDVALE                      AV,13
220212086,2022-06-18,2022-06-18,1530,Rampart,VIOLATION OF COURT ORDER,66.0,M,H,Unknown,Invest Cont,TOBERMAN                     ST,15
222111662,2022-07-14,2022-07-13,2355,Topanga,INTIMATE PARTNER - SIMPLE ASSAULT,37.0,F,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,20000    BALTAR                       ST,23
232108609,2023-05-02,2022-11-29,900,Topanga,DOCUMENT FORGERY / STOLEN FELONY,69.0,F,W,Unknown,Invest Cont,7400    QUAKERTOWN                   AV,9
220217318,2022-09-23,2022-09-19,900,Rampart,INTIMATE PARTNER - AGGRAVATED ASSAULT,32.0,F,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,1000 N  MARIPOSA                     AV,9
230210977,2023-05-20,2023-05-19,1700,Rampart,BURGLARY,63.0,F,A,Unknown,Invest Cont,800 S  CORONADO                     ST,17
221611373,2022-08-12,2022-08-08,9,Foothill,THEFT OF IDENTITY,39.0,F,Z,Unknown,Invest Cont,10800    TUJUNGA CANYON               BL,0
222113398,2022-08-23,2022-08-05,1203,Topanga,THEFT OF IDENTITY,60.0,F,W,Unknown,Invest Cont,20700    HARTLAND                     ST,12
231213800,2023-06-12,2023-06-12,1845,77th Street,BATTERY - SIMPLE ASSAULT,19.0,X,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,6000    EILEEN                       AV,18
222015181,2022-09-19,2022-09-19,1420,Olympic,ROBBERY,14.0,F,A,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,300 S  VIRGIL                       AV,14
220120067,2022-09-09,2022-09-09,1200,Central,ROBBERY,58.0,M,B,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,6TH,12
230205724,2023-02-07,2023-02-07,1930,Rampart,BATTERY - SIMPLE ASSAULT,38.0,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,LAKE                         ST,19
230304390,2023-01-07,2022-11-29,1200,Southwest,THEFT OF IDENTITY,63.0,M,H,Unknown,Invest Cont,2900    EDGEHILL                     DR,12
230113096,2023-05-26,2023-05-26,1600,Central,INTIMATE PARTNER - SIMPLE ASSAULT,37.0,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,700 S  MAIN                         ST,16
221225987,2022-12-25,2022-12-25,1145,77th Street,BRANDISH WEAPON,34.0,M,H,HAND GUN,Adult Arrest,1600 W  56TH                         ST,11
220512560,2022-08-15,2021-10-07,1,Harbor,BURGLARY,55.0,F,H,Unknown,Invest Cont,1200 W  PACIFIC COAST                HY,0
231211510,2023-05-05,2023-05-05,1500,77th Street,VEHICLE - ATTEMPT STOLEN,61.0,F,B,Unknown,Invest Cont,FLORENCE                     AV,15
231704846,2023-01-23,2023-01-23,2315,Devonshire,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",36.0,M,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,16900    PARTHENIA                    ST,23
230707620,2023-03-26,2023-03-25,2345,Wilshire,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",19.0,M,H,MACHETE,Adult Other,5500    WILSHIRE                     BL,23
220711974,2022-07-21,2022-07-19,1100,Wilshire,CRIMINAL THREATS - NO WEAPON DISPLAYED,24.0,M,B,VERBAL THREAT,Invest Cont,1000 S  CITRUS                       AV,11
231505172,2023-01-31,2023-01-30,1940,N Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",48.0,M,B,VERBAL THREAT,Invest Cont,5700    BUCKNELL                     AV,19
220911538,2022-07-17,2022-07-17,1120,Van Nuys,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",25.0,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,7100    VAN NUYS                     BL,11
221912773,2022-08-03,2022-03-10,1000,Mission,"BUNCO, GRAND THEFT",51.0,M,O,Unknown,Invest Cont,8500    MARKLEIN                     AV,10
230310212,2023-05-01,2023-05-01,820,Southwest,TRESPASSING,22.0,X,X,Unknown,Invest Cont,600    EXPOSITION                   BL,8
231008071,2023-04-12,2023-04-11,825,West Valley,BURGLARY FROM VEHICLE,49.0,M,W,Unknown,Invest Cont,15800    STRATHERN                    ST,8
230115085,2023-06-29,2023-06-29,700,Central,THEFT PLAIN - PETTY ($950 & UNDER),30.0,M,B,Unknown,Invest Cont,700    DUCOMMUN                     ST,7
230306372,2023-02-15,2023-02-15,1250,Southwest,BATTERY - SIMPLE ASSAULT,63.0,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,3600    COLISEUM                     ST,12
221224041,2022-11-23,2022-11-23,1030,77th Street,THEFT PLAIN - PETTY ($950 & UNDER),45.0,F,B,Unknown,Invest Cont,2200 W  75TH                         ST,10
221322559,2022-12-18,2022-12-17,2030,Newton,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",29.0,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,FLORENCE                     AV,20
230908181,2023-04-14,2023-04-09,215,Van Nuys,BURGLARY FROM VEHICLE,37.0,M,H,Unknown,Invest Cont,15100    RAYMER                       ST,2
230208727,2023-04-09,2023-04-08,1800,Rampart,BATTERY - SIMPLE ASSAULT,41.0,F,H,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,700 S  UNION                        AV,18
222018532,2022-11-21,2022-11-21,2100,Olympic,THEFT OF IDENTITY,34.0,F,W,Unknown,Invest Cont,600 N  SERRANO                      AV,21
221518461,2022-12-12,2022-12-10,2100,N Hollywood,BURGLARY FROM VEHICLE,29.0,M,W,Unknown,Invest Cont,5700    VINELAND                     AV,21
231409189,2023-04-17,2023-04-10,2130,Pacific,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",36.0,M,O,Unknown,Adult Arrest,300    WORLD WAY,21
221109933,2022-06-02,2022-05-31,2040,Northeast,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",48.0,F,H,Unknown,Invest Cont,2600    QUEEN                        ST,20
220816829,2022-11-10,2022-09-01,1200,West LA,BATTERY - SIMPLE ASSAULT,66.0,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,3200    FAY                          AV,12
220315140,2022-08-10,2022-05-26,1900,Southwest,"BUNCO, GRAND THEFT",54.0,F,K,Unknown,Invest Cont,ADAMS,19
230607846,2023-04-01,2023-03-30,1,Hollywood,TRESPASSING,68.0,F,W,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,1400 N  GARDNER                      ST,0
230109386,2023-03-26,2023-03-24,2300,Central,ROBBERY,31.0,M,O,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,500 S  LOS ANGELES                  ST,23
232108800,2023-05-06,2023-05-05,1915,Topanga,BURGLARY,38.0,M,B,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,6100    PAT                          AV,19
231213988,2023-06-15,2023-06-14,1500,77th Street,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",34.0,M,H,Unknown,Invest Cont,85TH                         ST,15
221711798,2022-07-31,2022-07-31,1200,Devonshire,BRANDISH WEAPON,51.0,M,W,OTHER KNIFE,Invest Cont,10200    VANALDEN                     AV,12
230206730,2023-02-26,2023-02-26,1615,Rampart,THEFT PLAIN - PETTY ($950 & UNDER),18.0,M,H,Unknown,Invest Cont,3500 W  TEMPLE                       ST,16
230405593,2023-02-17,2023-02-17,1430,Hollenbeck,VANDALISM - MISDEAMEANOR ($399 OR UNDER),56.0,F,H,Unknown,Invest Cont,1400    PLEASANT                     AV,14
221114648,2022-10-03,2022-09-22,2100,Northeast,BURGLARY FROM VEHICLE,41.0,F,O,Unknown,Invest Cont,1800    SILVER LAKE                  BL,21
231304688,2023-01-14,2023-01-14,920,Newton,ROBBERY,55.0,F,H,KNIFE WITH BLADE 6INCHES OR LESS,Adult Arrest,JEFFERSON                    BL,9
221515287,2022-09-22,2022-05-01,1,N Hollywood,THEFT OF IDENTITY,35.0,F,O,Unknown,Invest Cont,5000    WHITSETT                     AV,0
230104625,2023-01-09,2023-01-08,2000,Central,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),35.0,M,K,Unknown,Invest Cont,600 S  MAIN                         ST,20
220620139,2022-12-14,2022-12-14,1330,Hollywood,INTIMATE PARTNER - SIMPLE ASSAULT,35.0,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1800    WHITLEY                      AV,13
220220567,2022-11-19,2022-11-17,1400,Rampart,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),36.0,F,W,Unknown,Invest Cont,1300    KELLAM                       AV,14
231205158,2023-01-21,2023-01-21,1214,77th Street,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",39.0,M,H,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,84TH                         ST,12
220516676,2022-12-05,2022-12-03,600,Harbor,THEFT OF IDENTITY,39.0,F,H,Unknown,Invest Cont,600    GULF                         AV,6
231105529,2023-02-09,2023-02-09,120,Northeast,BURGLARY FROM VEHICLE,60.0,M,H,Unknown,Invest Cont,1600    ALLESANDRO                   ST,1
220313252,2022-07-05,2022-07-05,1000,Southwest,BATTERY - SIMPLE ASSAULT,25.0,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,2100 W  26TH                         PL,10
230709955,2023-05-23,2022-07-25,1500,Wilshire,THEFT OF IDENTITY,75.0,M,X,Unknown,Invest Cont,400 N  JUNE                         ST,15
220215592,2022-08-30,2022-08-30,2255,Rampart,CRIMINAL HOMICIDE,17.0,M,H,HAND GUN,Adult Other,1900 W  6TH                          ST,22
220619110,2022-11-18,2022-11-14,1800,Hollywood,OTHER MISCELLANEOUS CRIME,32.0,F,B,Unknown,Invest Cont,5600    LEXINGTON                    AV,18
230605248,2023-01-27,2023-01-25,2250,Hollywood,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",60.0,M,W,Unknown,Invest Cont,5400    HOLLYWOOD                    BL,22
220711633,2022-07-14,2022-07-13,2330,Wilshire,INTIMATE PARTNER - SIMPLE ASSAULT,29.0,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,4800 W  18TH                         ST,23
220915103,2022-10-18,2022-10-17,1937,Van Nuys,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",23.0,M,H,HAND GUN,Invest Cont,SHERMAN                      WY,19
221226261,2022-12-30,2022-12-30,1500,77th Street,EXTORTION,11.0,M,B,Unknown,Invest Cont,1400 W  87TH                         ST,15
220511788,2022-07-26,2022-07-26,2215,Harbor,INTIMATE PARTNER - SIMPLE ASSAULT,44.0,F,H,BLUNT INSTRUMENT,Adult Arrest,CRESTWOOD                    ST,22
220216286,2022-09-08,2022-09-08,1100,Rampart,INTIMATE PARTNER - SIMPLE ASSAULT,50.0,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,BURLINGTON                   ST,11
221012508,2022-08-06,2022-08-06,1500,West Valley,BATTERY - SIMPLE ASSAULT,76.0,M,O,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,ETIWANDA,15
220617397,2022-10-12,2022-10-12,715,Hollywood,FALSE IMPRISONMENT,21.0,M,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,1000 N  SERRANO                      AV,7
230510259,2023-06-22,2023-06-22,2320,Harbor,ROBBERY,58.0,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,SANFORD                      AV,23
230709738,2023-05-17,2023-03-25,1200,Wilshire,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",39.0,M,W,Unknown,Invest Cont,8400 W  3RD                          ST,12
220619912,2022-12-07,2022-12-07,1700,Hollywood,THEFT PLAIN - PETTY ($950 & UNDER),33.0,M,W,Unknown,Invest Cont,8000 W  SUNSET                       BL,17
230805656,2023-02-07,2023-02-06,920,West LA,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",40.0,F,W,Unknown,Invest Cont,SANTA MONICA                 BL,9
221911089,2022-06-21,2022-06-21,2125,Mission,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",27.0,M,H,HAMMER,Adult Arrest,MERCER                       ST,21
230111433,2023-04-28,2023-04-28,228,Central,BURGLARY,58.0,M,O,Unknown,Invest Cont,1400 S  LOS ANGELES                  ST,2
220914365,2022-09-28,2022-09-27,2045,Van Nuys,VIOLATION OF RESTRAINING ORDER,46.0,F,H,Unknown,Invest Cont,13100    VICTORY                      BL,20
231706173,2023-02-26,2023-02-19,1145,Devonshire,THEFT OF IDENTITY,32.0,M,A,Unknown,Invest Cont,19100    ECCLES                       ST,11
221416358,2022-09-10,2022-09-10,1820,Pacific,CRIMINAL THREATS - NO WEAPON DISPLAYED,41.0,M,B,VERBAL THREAT,Adult Arrest,00    WINDWARD                     AV,18
221717651,2022-12-11,2022-09-03,1845,Devonshire,THEFT PLAIN - PETTY ($950 & UNDER),29.0,M,B,Unknown,Invest Cont,9100    DARBY                        AV,18
220126692,2022-12-19,2022-12-19,1920,Central,BURGLARY FROM VEHICLE,28.0,M,H,Unknown,Invest Cont,700    JACKSON                      ST,19
230604176,2023-01-05,2022-12-28,1700,Hollywood,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",37.0,M,A,Unknown,Invest Cont,1300 N  NORMANDIE                    AV,17
221013972,2022-09-14,2022-09-14,30,West Valley,INTIMATE PARTNER - SIMPLE ASSAULT,43.0,M,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,5400    WHITE OAK                    AV,0
230608793,2023-04-23,2023-04-23,50,Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",34.0,M,B,HAND GUN,Invest Cont,WILCOX,0
220620183,2022-11-20,2022-11-20,1240,Hollywood,THEFT PLAIN - PETTY ($950 & UNDER),28.0,F,B,Unknown,Invest Cont,1700 N  HUDSON                       AV,12
222117436,2022-12-07,2022-12-05,1200,Topanga,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),38.0,M,H,Unknown,Invest Cont,VANOWEN,12
231205929,2023-02-02,2023-02-01,800,77th Street,THEFT OF IDENTITY,28.0,F,B,Unknown,Invest Cont,100 W  84TH                         PL,8
220613040,2022-07-11,2022-07-10,340,Hollywood,BURGLARY FROM VEHICLE,38.0,M,O,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,1600    WILCOX                       AV,3
231404674,2023-01-10,2023-01-10,100,Pacific,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),85.0,M,W,Unknown,Invest Cont,3300    COLBY                        AV,1
221917953,2022-12-14,2022-12-11,1500,Mission,BURGLARY,65.0,M,W,Unknown,Invest Cont,15800    MONTE                        ST,15
231306666,2023-02-21,2023-02-21,2135,Newton,BATTERY - SIMPLE ASSAULT,28.0,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,6800 S  MAIN                         ST,21
221822699,2022-12-25,2022-12-25,2000,Southeast,INTIMATE PARTNER - AGGRAVATED ASSAULT,29.0,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,MAIN                         ST,20
221224537,2022-12-03,2022-12-03,1450,77th Street,THEFT PLAIN - ATTEMPT,22.0,F,H,Unknown,Invest Cont,1100 W  45TH                         ST,14
231807863,2023-03-20,2023-03-20,200,Southeast,ROBBERY,22.0,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,BROADWAY,2
220322296,2022-12-25,2022-12-23,1500,Southwest,SHOPLIFTING - PETTY THEFT ($950 & UNDER),21.0,X,X,Unknown,Invest Cont,3500    LA CIENEGA                   BL,15
220314568,2022-08-02,2022-08-02,1225,Southwest,VANDALISM - MISDEAMEANOR ($399 OR UNDER),21.0,X,X,Unknown,Invest Cont,2500 S  FIGUEROA                     ST,12
221609226,2022-06-06,2022-06-05,1500,Foothill,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),57.0,F,W,Unknown,Invest Cont,7800    KLUMP                        AV,15
221417563,2022-09-24,2022-09-24,1530,Pacific,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",27.0,F,O,Unknown,Invest Cont,13600    MARINA POINTE                DR,15
231105144,2023-01-30,2023-01-27,1800,Northeast,BURGLARY FROM VEHICLE,36.0,F,W,Unknown,Invest Cont,2500    LAKE VIEW                    AV,18
230908697,2023-04-28,2023-04-25,1220,Van Nuys,BATTERY - SIMPLE ASSAULT,12.0,M,O,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,5400    VESPER                       AV,12
221412194,2022-06-10,2022-06-10,615,Pacific,THEFT PLAIN - PETTY ($950 & UNDER),52.0,F,W,Unknown,Invest Cont,LINCOLN,6
220516446,2022-11-27,2022-11-26,2100,Harbor,CRIMINAL THREATS - NO WEAPON DISPLAYED,59.0,M,H,VERBAL THREAT,Invest Cont,1500    LAKME                        AV,21
231807439,2023-03-09,2023-03-06,800,Southeast,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",22.0,F,B,Unknown,Invest Cont,9800 S  MAIN                         ST,8
220115211,2022-06-29,2022-06-29,915,Central,THEFT PLAIN - PETTY ($950 & UNDER),55.0,M,W,Unknown,Invest Cont,600 S  SPRING                       ST,9
221716849,2022-11-15,2022-11-07,1730,Devonshire,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),66.0,M,W,Unknown,Invest Cont,18600    STARE                        ST,17
221420318,2022-09-29,2022-06-05,2200,Pacific,THEFT OF IDENTITY,44.0,M,W,Unknown,Invest Cont,4600 S  SLAUSON                      AV,22
232106220,2023-03-01,2023-02-22,1300,Topanga,BATTERY - SIMPLE ASSAULT,67.0,F,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Juv Other,24300    CARIS                        ST,13
232010231,2023-05-15,2023-05-14,1500,Olympic,BATTERY - SIMPLE ASSAULT,19.0,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,300 S  ALEXANDRIA                   AV,15
222010991,2022-06-10,2022-06-10,2220,Olympic,ROBBERY,45.0,M,O,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,300 S  WESTERN                      AV,22
230311170,2023-05-20,2023-05-20,1830,Southwest,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",30.0,F,H,Unknown,Invest Cont,3700 S  LA BREA                      AV,18
231204991,2023-01-18,2023-01-18,1330,77th Street,BATTERY - SIMPLE ASSAULT,48.0,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,W  FLORENCE                     AV,13
221713481,2022-09-06,2022-09-02,749,Devonshire,THEFT OF IDENTITY,24.0,F,H,Unknown,Invest Cont,21400    PLUMMER                      ST,7
231205618,2023-01-30,2023-01-30,100,77th Street,CRIMINAL THREATS - NO WEAPON DISPLAYED,56.0,F,B,VERBAL THREAT,Invest Cont,500 W  50TH                         ST,1
