DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION,HOUR
232110607,2023-06-19,2023-06-19,25,Topanga,BATTERY - SIMPLE ASSAULT,39.0,M,O,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,6600    VARIEL                       AV,0
220812607,2022-07-28,2022-07-28,130,West LA,BURGLARY,42.0,M,W,Unknown,Invest Cont,2800    HADDINGTON                   DR,1
220711286,2022-07-06,2021-11-09,635,Wilshire,THEFT OF IDENTITY,28.0,M,B,Unknown,Invest Cont,1800 S  SYCAMORE                     AV,6
221219267,2022-09-08,2022-09-07,2130,77th Street,"THEFT, PERSON",17.0,M,W,Unknown,Adult Other,7200 S  WESTERN                      AV,21
221413904,2022-07-16,2022-07-16,1630,Pacific,BATTERY - SIMPLE ASSAULT,25.0,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,3400 S  SEPULVEDA                    BL,16
221318453,2022-09-29,2022-09-29,245,Newton,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",18.0,M,H,SWITCH BLADE,Invest Cont,24TH                         ST,2
221417336,2022-10-05,2022-10-02,1430,Pacific,BURGLARY,66.0,M,W,Unknown,Invest Cont,10700    QUEENSLAND                   ST,14
231104767,2023-01-20,2023-01-20,1225,Northeast,ROBBERY,33.0,F,H,HAND GUN,Invest Cont,1900    RIVERSIDE                    DR,12
220810905,2022-06-17,2022-06-17,915,West LA,VANDALISM - MISDEAMEANOR ($399 OR UNDER),66.0,F,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,STONER                       AV,9
231708747,2023-04-26,2023-03-20,940,Devonshire,THEFT PLAIN - PETTY ($950 & UNDER),34.0,F,O,Unknown,Invest Cont,20200    PIENZA                       LN,9
231407974,2023-04-04,2023-04-04,1448,Pacific,BOMB SCARE,25.0,F,H,BOMB THREAT,Invest Cont,10800    POST                         WY,14
